EmployeeID,Date,Amount,Comment
20,2/8/2021,-5000,Advance Deduction
44,2/8/2021,-4000,Advance Deduction
74,2/8/2021,-1000,Advance Deduction
106,2/8/2021,-1000,Advance Deduction
134,2/8/2021,-500,Advance Deduction
159,2/8/2021,-1000,Advance Deduction
184,1/8/2021,29,1% Interest
184,1/8/2021,-2929,Advance Deduction
242,1/8/2021,-1000,Advance Deduction
268,1/8/2021,-2000,Advance Deduction
332,1/8/2021,478,1% Interest
332,1/8/2021,-5478,Advance Deduction
484,1/8/2021,-2000,Advance Deduction
496,1/8/2021,-900,Advance Deduction
558,1/8/2021,-3000,Advance Deduction
600,1/8/2021,225,1% Interest
600,1/8/2021,-5225,Advance Deduction
605,1/8/2021,-10000,Advance Deduction
608,1/8/2021,90,1% Interest
608,1/8/2021,-5090,Advance Deduction
613,1/8/2021,-2000,Advance Deduction
690,1/8/2021,-1000,Advance Deduction
777,1/8/2021,-600,Advance Deduction
